"","k","ss.euclidean","ss.manhattan","ss.minkowski","ss.correlation","sil.euclidean","sil.manhattan","sil.minkowski","sil.correlation","ch.euclidean","ch.manhattan","ch.minkowski","ch.correlation","dunn.euclidean","dunn.manhattan","dunn.minkowski","dunn.correlation","rand.general.euclidean","rand.general.manhattan","rand.general.minkowski","rand.general.correlation","rand.outfield.euclidean","rand.outfield.manhattan","rand.outfield.minkowski","rand.outfield.correlation","rand.specific.euclidean","rand.specific.manhattan","rand.specific.minkowski","rand.specific.correlation","vi.general.euclidean","vi.general.manhattan","vi.general.minkowski","vi.general.correlation","vi.outfield.euclidean","vi.outfield.manhattan","vi.outfield.minkowski","vi.outfield.correlation","vi.specific.euclidean","vi.specific.manhattan","vi.specific.minkowski","vi.specific.correlation"
"1",2,251562.121944041,2884345.16980205,134575.543397789,5129.54518748701,0.385958552111383,0.439251210587511,0.151761168542238,0.0391842462492746,6749.78719687688,9515.88613945068,4073.97507055677,619.451273423444,0.0488642138898968,0.0324080091830042,0.0437678555455093,0.00454398969138883,0.1848636772897,0.182219517574274,0.0868230366806617,0.00437039589771362,0.968406952544225,0.921889675218493,0.047399585421326,-0.00316440239962635,0.0363774594946419,0.0361170936021076,0.0438774989648432,0.00806327246914132,0.98624031412416,1.02933316780106,1.7382804362327,1.97140319475514,0.0525281338092954,0.109825639700222,0.875494899148077,1.03677544910659,2.52567800210964,2.56011377391816,3.19707905527948,3.45852713231572
"2",3,215654.932957399,2292108.78626073,111163.384163606,4890.5105698559,0.181248995215573,0.230781275917547,0.1549542649623,0.0329606307993589,5448.12067080882,8332.55222817818,4377.78313387088,768.553784645563,0.0627408567728884,0.0476669301959476,0.0437678555455093,0.00530749323257331,0.191847332494031,0.195279768924852,0.200744304783262,0.0481845288995022,0.352361587441085,0.310441249977791,0.289900927352843,0.0626945142512716,0.0730311048152339,0.0775040961938945,0.0818112579826407,0.0334923683536474,1.4323782580341,1.4863064329581,1.48607781064132,2.18444590190631,0.569986954970108,0.636296966813688,0.620843005577098,1.2923062459402,2.90958792652524,2.96064295590928,2.94862901291077,3.63864099207551
"3",4,199553.794991672,2053057.75330199,108975.557610554,4605.23562086294,0.150523826196209,0.182512822186204,0.129754168955822,0.0439553596299144,4413.20418813864,6906.13791274953,3098.44636215935,918.953594172862,0.0565024709992184,0.0440051426228478,0.0434120983459272,0.00803751572444275,0.162153355421193,0.233787610935262,0.176226558930008,0.0762436664354517,0.181552124800157,0.177194793062949,0.283760056759739,0.0695485115436786,0.10636506013869,0.138454149682994,0.0537477024801018,0.0495250660165511,1.79961497372959,1.66001068981822,1.57173036694517,2.31319655625453,0.970005502898494,0.971715745711846,0.699182990231368,1.44849526638156,3.18137024510102,2.99159471184229,3.04373625271969,3.81054695456972
"4",5,196396.923623353,1938658.97769886,103616.504698686,4327.63673082059,0.115038418697656,0.158176474344986,0.0921046943984986,0.0720992119057589,3435.87261831841,5752.75911152566,2678.62058886914,1024.50976821913,0.0527585357886245,0.0586570933247766,0.0434120983459272,0.00803751579629585,0.143662853901388,0.222675811762012,0.191268101098072,0.102319196107295,0.177158366081145,0.123445525201746,0.187341501675278,0.0940068528083435,0.074304834229686,0.168802429298816,0.0771927571495818,0.097760496381796,1.87307260605253,1.88450016536392,1.8026849694556,2.33633976921204,1.04397092324604,1.2373056833688,1.01018283574543,1.48591845396753,3.25462637004761,3.181982480022,3.20400548110228,3.76065198628712
"5",6,186197.035580727,1859025.27293531,103003.851517103,4177.25953590833,0.0984216070141815,0.1567283355717,0.0854137395814007,0.0792072571697574,3097.99683447961,4954.60565978607,2177.11771668356,979.764103687453,0.0527585357886245,0.0548212169344894,0.0458370959447702,0.00803751592890121,0.171558401195771,0.209781901155625,0.185163017984875,0.101011897829776,0.125532647923699,0.100007154198307,0.185809405773433,0.0789144561973431,0.102993645959468,0.194962256559425,0.0665994146445847,0.108467043819843,1.99998450511121,2.06267391115573,1.84568832582352,2.47750100403438,1.29342387518958,1.4202364951879,1.05325144566397,1.62496773182229,3.32866453550403,3.28451680752434,3.24716152146834,3.89883101926116
"6",7,178028.668082985,1802075.40235048,100099.431285562,3886.04453931795,0.0917879594763009,0.151956790385561,0.0713604685444645,0.099769629951244,2838.77730792189,4354.69225376462,1954.58456327386,1104.3213648105,0.04622951348738,0.0495232620110338,0.0458370959447702,0.0107671581142598,0.162887736029334,0.197144832694981,0.166463718655762,0.105407781052736,0.0984641612013891,0.0854490424240215,0.150487791138452,0.0744372443606592,0.126144590085277,0.211053398100981,0.0772671027126667,0.146733554823267,2.10878052805903,2.2088134020348,2.02796699720991,2.54932403629932,1.48018317568047,1.56819908847267,1.24209378008802,1.71093278319135,3.34696345840308,3.42359045583021,3.41836507671322,3.82898846373436
"7",8,173637.121456271,1775016.52360848,97156.9283456089,3836.55457287491,0.0850383826414273,0.14730941796122,0.0662902375013323,0.100015353200698,2560.22144245084,3828.81381855193,1804.53496269848,992.167225224616,0.0502384180408717,0.0576965169780506,0.0451399000392114,0.0107671581142598,0.147898040798404,0.194783046165992,0.152654853424582,0.103279412387,0.0819502890719007,0.0805575435336483,0.108617696471302,0.0683381651569572,0.134487453659094,0.217419257746657,0.086121778544293,0.150064237650422,2.26980851350683,2.2786106097227,2.21812879908237,2.63151979773973,1.63832812332418,1.6501478511815,1.4755058721917,1.80057956050511,3.511875898007,3.49071171860571,3.59449405431509,3.90676486597972
"8",9,169840.042037612,1734451.12461509,93611.6824249679,3742.05924013717,0.0856472480365507,0.142508331155493,0.0634422561096662,0.102239272932003,2340.87312541994,3481.4396669822,1724.59794078307,947.310905977339,0.0473838016692168,0.0622434526784437,0.0457179713214577,0.011701690737317,0.158698029835488,0.190036150331066,0.146995246561478,0.102425966802129,0.0745332511038394,0.0720487478717346,0.0883805392468909,0.0607378046928516,0.147290988253069,0.231952441657251,0.108019281673138,0.163241828624168,2.2491774157347,2.33867249672228,2.32155655410169,2.7193120728081,1.74139136468726,1.76091255245288,1.64431099689927,1.8992290845752,3.45968877278742,3.50181474178742,3.61103965431938,3.98516998651485
"9",10,165882.57176949,1698128.27046346,91373.4357741378,3665.11665594993,0.0793678621487092,0.105591944471003,0.06217858346284,0.101528658534055,2178.4090156121,3203.76645465097,1619.83730208247,902.018180166167,0.0518774741553343,0.0599275802896446,0.0504179718209925,0.0120643701552725,0.168723683109517,0.168092228381394,0.137774563570782,0.101602871527633,0.0601587045037909,0.0686896746034388,0.0778508944029125,0.0553347832107207,0.170167386443301,0.178914134449997,0.113924405612754,0.16993677320046,2.30732582385847,2.41165790244756,2.40345897228198,2.78859689355696,1.89109453341363,1.83396443414977,1.76386872057393,1.97396866085203,3.4938841506504,3.57456322752011,3.67031756593611,4.05226458495116
"10",11,164342.350274471,1657863.40901607,88950.068768745,3586.38476416102,0.0766012365291328,0.0931988934842669,0.063718232805546,0.101829657945161,1995.84193994991,2997.33295649896,1546.93164733453,869.432749061415,0.0518774741553343,0.0530456126965109,0.0504770456359872,0.0120643701552725,0.164689641218814,0.160381573752317,0.140642376001005,0.0994831799142396,0.0569067888586077,0.0601473029125496,0.0638548390535505,0.0509739401117098,0.17418773986062,0.181802780167285,0.131946781533068,0.174494624346546,2.37380098913706,2.47182031421804,2.47140527429666,2.86338130316056,1.95835265720687,1.94494496834934,1.89866833922478,2.05805162607169,3.55432488816066,3.63261709999563,3.71378045379291,4.11799386415079
