"","k","ss.euclidean","ss.manhattan","ss.minkowski","ss.correlation","sil.euclidean","sil.manhattan","sil.minkowski","sil.correlation","ch.euclidean","ch.manhattan","ch.minkowski","ch.correlation","dunn.euclidean","dunn.manhattan","dunn.minkowski","dunn.correlation","rand.general.euclidean","rand.general.manhattan","rand.general.minkowski","rand.general.correlation","rand.outfield.euclidean","rand.outfield.manhattan","rand.outfield.minkowski","rand.outfield.correlation","rand.specific.euclidean","rand.specific.manhattan","rand.specific.minkowski","rand.specific.correlation","vi.general.euclidean","vi.general.manhattan","vi.general.minkowski","vi.general.correlation","vi.outfield.euclidean","vi.outfield.manhattan","vi.outfield.minkowski","vi.outfield.correlation","vi.specific.euclidean","vi.specific.manhattan","vi.specific.minkowski","vi.specific.correlation"
"1",2,251752.566769139,2892493.47648682,127585.991021849,4889.26695514262,0.389375884159807,0.450127420037202,0.349742586284914,0.0909372976738826,6730.9458051392,9437.9301596187,5291.85615122557,1542.20156770493,0.0640915193859787,0.0443719120083147,0.125302291695573,0.0215127703239771,0.185952047846556,0.185261130971942,0.186641159380124,0.0406568126733409,0.987274629339455,0.975759100702828,0.998268386076696,0.0617381350633527,0.0365807276152467,0.0365199271220448,0.0366584014773883,0.0351652349018455,0.964917110936275,0.979274855035095,0.947000613834718,1.80282894586891,0.0251345792470615,0.0427699132585075,0.00470404234860189,0.867117376695467,2.50862435473075,2.52059223019268,2.49297021479478,3.28257285131972
"2",3,212566.827593756,2274065.6287618,112974.502294023,4527.58590812136,0.181022623037136,0.231466942941084,0.144375468198032,0.104877245388297,5659.15167533683,8470.6930681008,4162.07062974059,1557.83912876976,0.0501614609273636,0.0454673890684226,0.0402002386004354,0.010712172404289,0.203538407151066,0.216232160627923,0.186524624961425,0.0623460876502446,0.289299347576282,0.288696928938243,0.289735692613618,0.0585664922749586,0.0785526948600572,0.0817325717375403,0.0745441708068823,0.0646420109433323,1.485561613045,1.47006829777877,1.50781517162255,2.07420406273167,0.625053642056631,0.63190506603452,0.62342696544809,1.17004531145137,2.97557426278456,2.95109906011244,3.01354152449875,3.5325001201717
"3",4,203664.184607908,2085019.46094826,106765.085580426,4237.55164247784,0.137597114030945,0.181074694945999,0.11891795168489,0.113375510587006,4202.00015842842,6707.50496497049,3287.89096207493,1523.78053330101,0.0550275340807117,0.0317936744967245,0.0452241191099684,0.0295751346752073,0.183667467529095,0.271273615896389,0.186255945197366,0.0759751769662018,0.187270432237624,0.195193777716945,0.181726922506197,0.0595015539721124,0.105903505714395,0.124512475612072,0.107087710632579,0.0860510425327198,1.79371824353247,1.52819981828576,1.79437428297053,2.26154308892565,0.952263988518411,0.935829099230223,0.959727829174642,1.37465739299052,3.22504276440611,2.94363263158273,3.1653793129217,3.71715156421563
"4",5,191487.052665271,1968638.82355792,102620.11173141,4031.67564957296,0.122604815387237,0.158710835329099,0.11885206927618,0.119065656589467,3640.34148439912,5596.03642671056,2748.6954316792,1432.88448114219,0.057004246009207,0.0334636342859538,0.0452241191099684,0.0191268676740388,0.20764113259097,0.249946582861452,0.160470918387389,0.0813840513350421,0.125281374708562,0.124026377913232,0.133057051914879,0.0530732886544228,0.146710484304063,0.166485114429881,0.14128369257035,0.103248365831983,1.95553207454306,1.81881502423064,2.03567328451889,2.41157995194219,1.22888698153797,1.23411129660568,1.20512075810588,1.54234021516214,3.30587614788132,3.18337872871106,3.27120461593689,3.86914280990976
"5",6,183696.830931426,1877094.84799789,99954.3435772195,3830.39869974197,0.125099895755653,0.159857289079239,0.111785955732347,0.125623782118221,3189.5763625724,4871.96145123014,2354.30542715002,1397.25452006216,0.0343676265853275,0.0360527752824059,0.0452241191099684,0.0238492937278201,0.202963666241796,0.206344660231708,0.137991884163494,0.0738765139480475,0.0998088864101834,0.101890787836926,0.101622404262701,0.0507743080767395,0.191186308843096,0.192767365896109,0.157712818483096,0.119348680089315,2.02966413943004,1.97335794807264,2.24093087548156,2.57975565838827,1.42012675142292,1.41385652996033,1.41185006908727,1.67316547404798,3.26670858260616,3.20504062072221,3.46047516436523,3.9537712262866
"6",7,178581.777440854,1813874.67336927,95933.1423989983,3697.75194916953,0.119115029701959,0.141900965534559,0.103507304749336,0.124039761861098,2820.61479146732,4306.68512112958,2170.85785600453,1314.60680045383,0.0382904671694872,0.0361406167008251,0.0439769281595705,0.0172577977161799,0.188710059570316,0.194832660163685,0.153812894525417,0.0788246388309423,0.0818351895732094,0.0837912118209959,0.080819035856544,0.03824636684506,0.203646390107902,0.200438082261854,0.187196699041611,0.13610836328,2.20376721137382,2.11335285976699,2.33555211272536,2.68522923007354,1.5840697042512,1.57637720615845,1.59011533881884,1.82790586068748,3.44550218251945,3.33436239747854,3.55768902162376,4.06575408174917
"7",8,173306.783764955,1754344.37246015,94068.781605599,3508.93905322025,0.116428829355645,0.137160567845653,0.104580121524407,0.132923497677197,2570.04392739433,3904.48465489827,1948.89989469127,1326.89986256207,0.0628935141392578,0.0339546752445832,0.0439769281595705,0.0172578002892433,0.193313650283645,0.203439773307758,0.152686623349922,0.0801715469503756,0.0723454516889432,0.0742385801619324,0.0711200680884726,0.034246965258998,0.228268017660793,0.220109759357722,0.199777786601604,0.150636172984617,2.2189652853713,2.13978645501891,2.43669401995761,2.77433912965462,1.70405783538632,1.69834331209608,1.71352139026187,1.92819735062583,3.39264573440922,3.32177133993776,3.631496742495,4.08894982509056
"8",9,170409.613786028,1687035.35330752,91578.3454909548,3404.1458149697,0.103840922651229,0.140212762625723,0.102795503084866,0.134434252097403,2325.46606566109,3643.05434665698,1813.26324495327,1266.55403343299,0.0588486163013733,0.0359226850850368,0.0571511352095119,0.0191268702346252,0.175538975019634,0.209976981379569,0.170498816564573,0.0912281441243684,0.0621474054178205,0.0644931226930086,0.0630336615401292,0.0458944101383666,0.23688232675958,0.240096358595913,0.231880995344326,0.168051140275852,2.30657095174478,2.20623919690839,2.39407403603971,2.80756308642603,1.83387938392106,1.8213383607611,1.82581080070671,1.96568205774283,3.46051413882672,3.36902784767317,3.53569170376776,4.13613177492626
"9",10,165900.270871556,1640419.53295089,90380.9497975842,3281.40935465464,0.105733681519028,0.139392075295547,0.0971540078484416,0.140056800081853,2177.96147501606,3387.41349528101,1659.7690457135,1243.29777400183,0.0597268418479805,0.036297337750074,0.0521258407998313,0.0130008259998812,0.16934221629219,0.19276479750719,0.153869563614632,0.0944010914396312,0.0557874667075454,0.0558845883197511,0.0560603177487198,0.0429198431747177,0.249569595641528,0.254950273517926,0.232800731596228,0.177753420823519,2.39649306168141,2.3175025394243,2.50062659092137,2.84966501563569,1.93521284440997,1.93789052570303,1.93230490677262,2.04528157965028,3.50103904189911,3.46047543366201,3.62540205852242,4.15319417037144
"10",11,162378.629152446,1601545.93663746,88392.3497644072,3185.91098479262,0.0797835932520199,0.139789727953347,0.0767482127932664,0.14187442342149,2041.92582491071,3166.5489362971,1568.14277739498,1206.84482330084,0.0597268418479805,0.0376719758960969,0.0521258407998313,0.0191268666113578,0.145349654932377,0.188001259625835,0.129415637950008,0.0945788892485119,0.0523903490708368,0.0509538512345879,0.0525954109283212,0.0409386146045997,0.185854511971106,0.263978820056469,0.167735527916699,0.184906937148036,2.46994726509399,2.39800223183137,2.57543534289366,2.9095827209799,2.00866704782256,2.02834976115209,2.00711365874491,2.11961488786353,3.57449324531169,3.51908637446513,3.70021081049471,4.17150681464077
