"","k","fsil.euclidean","fsil.manhattan","fsil.minkowski","fsil.correlation"
"1",2,0.701826550259619,0.746146904389102,0.679064237828028,0.604776589288639
"2",3,0.557407116743941,0.562367112917532,0.551792419735301,0.709421679136607
"3",4,0.564772262889837,0.554914578309329,0.565089142940293,0.638367297361454
"4",5,0.553117948703902,0.547236564597695,0.482033990115688,0.582933279831224
"5",6,0.525360263622247,0.530547835251053,0.518820526551362,0.551822836472005
"6",7,0.530592416770015,0.405755602387963,0.518872056634915,0.549654917564604
"7",8,0.508194581582447,0.515193752668759,0.499426312827565,0.47208717724421
"8",9,0.382555191943583,0.523210699912589,0.504785872828336,0.394295486653121
"9",10,0.512713980669321,0.527455434040819,0.502670601883073,0.630674483286931
"10",11,0.519506151087001,0.374671142201147,0.500634946295574,0.634145651949742
"11",12,0.511686453653008,0.520572117946114,0.499923734137875,0.472792226757338
"12",13,0.369079575073932,0.524246533056739,0.505439262308738,0.477911069739035
"13",14,0.515737946775731,0.354745325314445,0.337192780967413,0.490243492162171
"14",15,0.366220044012641,0.352191579127578,0.350646102773161,0.442750305747983
"15",16,0.364024339936072,0.346438860804172,0.329349372292254,0.501844072377472
"16",17,0.353839815692447,0.34008726683983,0.335885101806884,0.480376593988204
"17",18,0.356980842104,0.525105444816366,0.3481854481744,0.621841528196141
"18",19,0.363160404460895,0.326417694391947,0.347240036355421,0.514486924777254
"19",20,0.3601699868932,0.335544996326481,0.346003387660419,0.544680331755431
"20",21,0.351926848119885,0.353513286398563,0.502843832955826,0.433017243181229
"21",22,0.36453439719143,0.34052931621434,0.327442660890257,0.550232997099076
"22",23,0.362798130671262,0.330341978959674,0.329991285474951,0.433336062826024
"23",24,0.360864505648512,0.351130963774039,0.319625860700378,0.537609146590545
"24",25,0.365172584677248,0.526113580536346,0.34216111356122,0.538459127357061
"25",26,0.351687982006373,0.32918514824657,0.31273886481922,0.525000300014807
"26",27,0.353766241374627,0.336834796201744,0.320611751198967,0.549110520286149
"27",28,0.363416097946698,0.348431048078654,0.318889189996655,0.53787091816066
"28",29,0.355169257489298,0.324427247866039,0.300795048664534,0.507507754420263
"29",30,0.346401221996547,0.32387167639133,0.303971554015525,0.493947214940175
"30",31,0.345155001297661,0.322597425946244,0.299358948137163,0.497935639911606
"31",32,0.337542033516714,0.322069663375137,0.310260070129206,0.559806865168804
"32",33,0.344767876579703,0.34911084469317,0.302039699541328,0.521962412204566
"33",34,0.341912648281569,0.322048000457963,0.294001140500748,0.55335691600973
"34",35,0.340877531629556,0.324578067931378,0.292803320647771,0.553494507363852
"35",36,0.33229862105495,0.323812143276018,0.295550698987865,0.512184106522741
"36",37,0.339832182135055,0.348569271467684,0.309476580255202,0.532632111412352
"37",38,0.350514900741382,0.326854107493452,0.286422007390766,0.548573380426962
"38",39,0.325295007359919,0.315914126656227,0.286138721863287,0.525390722678027
"39",40,0.335939235310754,0.344468696723481,0.295152821914954,0.514526295861393
